ONEUP Portfolio Analytics Report
Date Range: Last 7 days
Export Date: 28/12/2025

=== Overview ===
Total Visitors,18
Visitors This Month,18
Visitors Change (%),0
Total Page Views,236
Page Views This Month,236

=== Top Pages ===
Page,Views
"/projets",58
"/",53
"/projets/portfolio-retro",43
"/blog",32
"/a-propos",8

=== Top Projects ===
Project,Views
"Portfolio Retro Gaming",104
"Retro Game Engine",71
"Crypto Tracker",55
"URL Shortener",47
"Automatisation n8n",43

=== Top Articles ===
Article,Views
"Updated",164
"Le Vibe Coding : coder avec l'IA comme partenaire",112
"Automatiser son workflow avec n8n et Claude",109
"Article 6: Building Scalable APIs",109
"Article 21: GraphQL Fundamentals",108

=== Traffic Sources ===
Source,Visits,Percentage
"Direct",138,58%
"localhost",98,42%
